Decimal,Binary,Hex,Control Function,Value,Used As
60,111100,3C,LSB for Control 28 (Undefined),0-127,LSB
61,111101,3D,LSB for Control 29 (Undefined),0-127,LSB
62,111110,3E,LSB for Control 30 (Undefined),0-127,LSB
63,111111,3F,LSB for Control 31 (Undefined),0-127,LSB
64,1000000,40,Damper Pedal on/off (Sustain),"≤63 off, ≥64 on",—
65,1000001,41,Portamento On/Off,"≤63 off, ≥64 on",—
66,1000010,42,Sostenuto On/Off,"≤63 off, ≥64 on",—
67,1000011,43,Soft Pedal On/Off,"≤63 off, ≥64 on",—
68,1000100,44,Legato Footswitch,"≤63 Normal, ≥64 Legato",—
69,1000101,45,Hold 2,"≤63 off, ≥64 on",—
70,1000110,46,Sound Controller 1 (default: Sound Variation),0-127,LSB
71,1000111,47,Sound Controller 2 (default: Timbre/Harmonic Intens.),0-127,LSB
72,1001000,48,Sound Controller 3 (default: Release Time),0-127,LSB
73,1001001,49,Sound Controller 4 (default: Attack Time),0-127,LSB
74,1001010,4A,Sound Controller 5 (default: Brightness),0-127,LSB
75,1001011,4B,Sound Controller 6 (default: Decay Time),0-127,LSB
76,1001100,4C,Sound Controller 7 (default: Vibrato Rate),0-127,LSB
77,1001101,4D,Sound Controller 8 (default: Vibrato Depth),0-127,LSB
78,1001110,4E,Sound Controller 9 (default: Vibrato Delay),0-127,LSB
79,1001111,4F,Sound Controller 10 (default undefined),0-127,LSB
80,1010000,50,General Purpose Controller 5,0-127,LSB
81,1010001,51,General Purpose Controller 6,0-127,LSB
82,1010010,52,General Purpose Controller 7,0-127,LSB
83,1010011,53,General Purpose Controller 8,0-127,LSB
84,1010100,54,Portamento Control,0-127,LSB
85,1010101,55,Undefined,—,—
86,1010110,56,Undefined,—,—
87,1010111,57,Undefined,—,—
88,1011000,58,High Resolution Velocity Prefix,0-127,LSB
89,1011001,59,Undefined,—,—
90,1011010,5A,Undefined,—,—
91,1011011,5B,"Effects 1 Depth (default: Reverb Send Level)",0-127,—
92,1011100,5C,Effects 2 Depth,0-127,—
93,1011101,5D,"Effects 3 Depth (default: Chorus Send Level)",0-127,—
94,1011110,5E,Effects 4 Depth,0-127,—
95,1011111,5F,Effects 5 Depth,0-127,—
96,1100000,60,Data Increment (Data Entry +1),N/A,—
97,1100001,61,Data Decrement (Data Entry -1),N/A,—
98,1100010,62,Non-Registered Parameter Number (NRPN) – LSB,0-127,LSB
99,1100011,63,Non-Registered Parameter Number (NRPN) – MSB,0-127,MSB
100,1100100,64,Registered Parameter Number (RPN) – LSB,0-127,LSB
101,1100101,65,Registered Parameter Number (RPN) – MSB,0-127,MSB
102,1100110,66,Undefined,—,—
103,1100111,67,Undefined,—,—
104,1101000,68,Undefined,—,—
105,1101001,69,Undefined,—,—
106,1101010,6A,Undefined,—,—
107,1101011,6B,Undefined,—,—
108,1101100,6C,Undefined,—,—
109,1101101,6D,Undefined,—,—
110,1101110,6E,Undefined,—,—
111,1101111,6F,Undefined,—,—
112,1110000,70,Undefined,—,—
113,1110001,71,Undefined,—,—
114,1110010,72,Undefined,—,—
115,1110011,73,Undefined,—,—
116,1110100,74,Undefined,—,—
117,1110101,75,Undefined,—,—
118,1110110,76,Undefined,—,—
119,1110111,77,Undefined,—,—
120,1111000,78,[Channel Mode Message] All Sound Off,0,—
121,1111001,79,"[Channel Mode Message] Reset All Controllers",0,—
122,1111010,7A,[Channel Mode Message] Local Control On/Off,"0 off, 127 on",—
123,1111011,7B,[Channel Mode Message] All Notes Off,0,—
124,1111100,7C,[Channel Mode Message] Omni Mode Off (+ all notes off),0,—
125,1111101,7D,[Channel Mode Message] Omni Mode On (+ all notes off),0,—
126,1111110,7E,"[Channel Mode Message] Mono Mode On (+ poly off, + all notes off)","Note: This equals the number of channels, or zero if the number of channels equals the number of voices in the receiver.",—
127,1111111,7F,"[Channel Mode Message] Poly Mode On (+ mono off, +all notes off)",0,—
